url,title,keywords,description
http://www.google.com,Google,,
https://www.cloudflare.com/,"Cloudflare - The Web Performance & Security Company

 | Cloudflare ",,"Here at Cloudflare, we make the Internet work the way it should. Offering CDN, DNS, DDoS protection and security, find out how we can help your site.
"
https://play.google.com/store,Google Play,,"Enjoy millions of the latest Android apps, games, music, movies, TV, books, magazines & more. Anytime, anywhere, across your devices."
https://www.apple.com/,Apple,,
https://support.google.com/,Google Help,,
https://en.wikipedia.org/wiki/Main_Page,"Wikipedia, the free encyclopedia",,
https://www.google.com:443/maps,  Google Maps  ,,
https://www.linkedin.com/,LinkedIn: Log In or Sign Up,,"675 million+ members | Manage your professional identity. Build and engage with your professional network. Access knowledge, insights and opportunities."
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://docs.google.com/&followup=https://docs.google.com/&emr=1,Sign in - Google Accounts,,
https://accounts.google.com/ServiceLogin?passive=1209600&osid=1&continue=https://plus.google.com/&followup=https://plus.google.com/,Sign in - Google Accounts,,
https://github.com/,The world’s leading software development platform · GitHub,,"GitHub brings together the world’s largest community of developers to discover, share, and build better software. From open source projects to private team repositories, we’re your all-in-one platform for collaborative development."
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F,Sign in - Google Accounts,,
https://www.microsoft.com/en-in/,Microsoft - Official Home Page,,At Microsoft our mission and values are to help people and businesses throughout the world realize their full potential.
https://wordpress.org/,"Blog Tool, Publishing Platform, and CMS — WordPress.org",,"Open source software which you can use to easily create a beautiful website, blog, or app."
https://vimeo.com/,Vimeo | The world’s leading professional video platform,"vimeo, video hosting for business","Join the world’s leading professional video platform and grow your business with easy-to-use, high-quality video creation, hosting, and marketing tools."
https://www.youtube.com/,YouTube,"video, sharing, camera phone, video phone, free, upload","Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube."
https://www.youtube.com/?feature=youtu.be,YouTube,"video, sharing, camera phone, video phone, free, upload","Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube."
https://accounts.google.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/&followup=https://sites.google.com/,Google Sites,,Thinking of creating a website? Google Sites is a free and easy way to create and share web pages.
https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://drive.google.com/&followup=https://drive.google.com/&emr=1,Meet Google Drive – One place for all your files,,"Google Drive is a free way to keep your files backed up and easy to reach from any phone, tablet or computer. Start with 15 GB of Google storage – free."
http://www.google.co.jp/,Google,,
https://www.mozilla.org/en-US/,"Internet for people, not profit
    — Mozilla
  ",,"
  Mozilla is the not-for-profit behind the lightning fast Firefox browser. We put people over profit to give everyone more power online.
"
http://www.msn.com/en-in/,"MSN India | Breaking News, Entertainment, Latest Videos, Outlook",,"MSN India offers latest national and World news, with the best of Cricket, Bollywood, Business, Lifestyle and more. Access Outlook mail, Skype and Bing search"
https://www.facebook.com/,Facebook – log in or sign up,,"Create an account or log in to Facebook. Connect with friends, family and other people you know. Share photos and videos, send messages and get updates."
https://edition.cnn.com/,"CNN International - Breaking News, US News, World News and Video","breaking news, news online, U.S. news, world news, developing story, news video, CNN news, weather, business, money, politics, law, technology, entertainment, education, travel, health, special reports, autos, CNN TV","Find the latest breaking news and information on the top stories, weather, business, entertainment, politics, and more. For in-depth coverage, CNN provides special reports, video, audio, photo galleries, and interactive guides."
https://www.istockphoto.com/in,"Stock Images, Royalty-Free Pictures, Illustrations & Videos - iStock",,"Explore millions of exclusive, royalty-free, stock photos, images, and videos. Find the perfect image for your project, fast. Search now."
https://www.blogger.com/about/?r=1-null_user,Blogger.com - Create a unique and beautiful blog. It’s easy and free.,,"Publish your passions your way. Whether you’d like to share your knowledge, experiences or the latest news, create a unique and beautiful blog for free."
https://medium.com/,Medium – Get smarter about what matters to you.,,"Medium is not like any other platform on the internet. Our sole purpose is to help you find compelling ideas, knowledge, and perspectives. We don’t serve ads—we serve you, the curious reader who loves to learn new things. Medium is home to thousands of independent voices, and we combine humans and technology to find the best reading for you—and filter out the rest."
https://www.bbc.co.uk/,BBC - Home,"BBC, British Broadcasting Corporation, BBCi, News, Sport, iPlayer, TV, Radio, Food, Music, Business, Arts, Bitesize, Lifestyle, Entertainment, Headlines","The best of the BBC, with the latest news and sport headlines, weather, TV & radio highlights and much more from across the whole of BBC Online"
https://m.vk.com/,VK mobile version | VK,,"VK is the largest European social network with more than 100 million active users. Our goal is to keep old friends, ex-classmates, neighbors and colleagues in touch."
https://www.jimdo.com/,Bring Your Business Online | Websites and More – Jimdo,,"Try Jimdo, the all-in-one business solution. Websites, online stores, bookings, logos, SEO, analytics, domains and hosting."
http://www.google.com.br/,Google,,
https://www.nytimes.com/,"The New York Times - Breaking News, World News & Multimedia","Economy,International trade,Coronavirus;COVID-19,US Economy,Banking and Finance,Currency,CARES Act;Coronvirus Stimulus,Small business,House of Representatives,Congress,Senate,Congress,SBA,Treasury Department,Steven T Mnuchin,Chuck Schumer,Mitch McConnell,Credit union,American Bankers Assn,USAA Group,Elizabeth Warren,Sherrod Brown,Old age;elderly;senior citizens,Shortages,Nursing home,Quarantines,Massachusetts,Paul E Farmer,Epidemic;Pandemic,Protective Clothing and Gear;PPE;Personal Protective Equipment,Veteran,CDC,Veteran Affairs,Richard A. Stone,US Politics,Veterans Health Administration,your-feed-science,WHO,Tedros Adhanom Ghebreyesus,Donald Trump,China,Europe,US,Politics,Propaganda,Relocation,Race and Ethnicity,Discrimination,Communist Party of China,Angela Merkel,Germany,2020 Election,Political endorsement,Joe Biden,Bernard Sanders;Bernie Sanders,Primaries,US Presidential Elections,Computers and the Internet,Tech Industry,Online advertising,Campaign advertising,Facebook,YouTube,,Brad Parscale,Hispanic Americans,Health Insurance,Migrant Labor,Jobs,World War II,Diaries,Netherlands;Holland,Holocaust and Nazis,War Crimes;Genocide;Crimes Against Humanity,Judaism","The New York Times: Find breaking news, multimedia, reviews & opinion on Washington, business, sports, movies, travel, books, jobs, education, real estate, cars & more at nytimes.com."
https://fr.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal,"Wikipédia, l'encyclopédie libre",,
http://www.google.co.uk/,Google,,
https://pt.wikipedia.org/wiki/Wikip%C3%A9dia:P%C3%A1gina_principal,"Wikipédia, a enciclopédia livre",,
https://www.amazon.com/,"Amazon.com: Online Shopping for Electronics, Apparel, Computers, Books, DVDs & more","Amazon, Amazon.com, Books, Online Shopping, Book Store, Magazine, Subscription, Music, CDs, DVDs, Videos, Electronics, Video Games, Computers, Cell Phones, Toys, Games, Apparel, Accessories, Shoes, Jewelry, Watches, Office Products, Sports & Outdoors, Sporting Goods, Baby Products, Health, Personal Care, Beauty, Home, Garden, Bed & Bath, Furniture, Tools, Hardware, Vacuums, Outdoor Living, Automotive Parts, Pet Supplies, Broadband, DSL","Free delivery on millions of items with Prime. Low prices across earth's biggest selection of books, music, DVDs, electronics, computers, software, apparel & accessories, shoes, jewelry, tools & hardware, housewares, furniture, sporting goods, beauty & personal care, groceries & just about anything else."
https://creativecommons.org/,"When we share, everyone wins - Creative Commons",,
https://accounts.google.com/ServiceLogin?service=mail&passive=true&rm=false&continue=https://mail.google.com/mail/&ss=1&scc=1&ltmpl=default&ltmplcache=2&emr=1&osid=1,Gmail,,"Gmail is email that's intuitive, efficient and useful. 15 GB of storage, less spam and mobile access."
http://www.google.es/,Google,,
http://www.w3.org/,World Wide Web Consortium (W3C),,"The World Wide Web Consortium (W3C) is an international community where Member organizations, a full-time staff, and the public work together to develop Web standards."
http://t.me,,,
https://www.dropbox.com/,Dropbox,,Dropbox is a modern workspace designed to reduce busywork-so you can focus on the things that matter. Sign in and put your creative energy to work.
https://www.nih.gov/,National Institutes of Health (NIH) | Turning Discovery Into Health,"NIH, Health, research funding, medical research, medical information, grants, biomedical, disease prevention, biological science, clinical trials","Official website of the National Institutes of Health (NIH). NIH is one of the world's foremost medical research centers. An agency of the U.S. Department of Health and Human Services, the NIH is the Federal focal point for health and medical research. The NIH website offers health information for the public, scientists, researchers, medical professionals, patients, educators,"
https://in.reuters.com/,"Business News - Indian Stock Market, Stock Market News, Business & Finance, Market Statistics | Reuters India","rupee,dollar,sensex,nifty,India,shares,currencies,commodities","Reuters India offers top Business and market news updates covering Indian Stock market news, finance, investment and more news headlines. Read breaking news from India in business, stocks, sensex, market, entertainment and more with videos, pictures, discussions & more Indian news."
http://www.google.de/,Google,,
https://policies.google.com/,Privacy & Terms – Google,,
https://www.dailymotion.com/,Dailymotion - the home for videos that matter,,"The latest news, sports, music and entertainment videos on Dailymotion"
